Author,Section,Question,Answer
Human Summary (A2),2.4.4,What is the task of determining that two words have the same root?,Lemmatization
Human Summary (A2),2.4.4,What can all morphemes be grouped into?,stems
Human Summary (A2),2.4.5,What are the most useful cues for sentence segmentation?,punctuations
Human Summary (A2),2.4.5,What determines the purpose of a punctuation?,the sentence tokenization
Human Summary (A2),2.5.0,What is the task of deciding whether two strings refer to the same entity?,Coreference
Human Summary (A2),2.5.0,What quantifies string similarity?,Edit distance
Human Summary (A2),2.5.0,What is a correspondence between substrings of the two sequences?,An alignment
Human Summary (A2),2.5.0,"The operation list contains symbols expressing the editing operations needed, following what?","d for deletion, s for substitution, and i for insertion"
Human Summary (A2),2.5.0,What is the weighting factor in which each of the three editing operations has a cost of 1?,The Levenshtein distance between two sequences
Human Summary (A2),2.5.1,What is a class of algorithms that solve problems by combining solutions to sub-problems?,Dynamic programming
Human Summary (A2),2.5.1,What are two examples of algorithms that use dynamic programming?,Viterbi algorithm and the CKY algorithm
Human Summary (A2),2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer
Human Summary (A2),2.5.1,What step of the minimum edit distance algorithm calculates the distance for the zeroth row and column?,The initialization step
Human Summary (A2),2.5.1,What step takes the minimum of three possible paths to determine the minimum edit distance for the rest of the matrix?,The recurrence relation
Human Summary (A2),2.5.1,What is one way to visualize the minimum edit distance algorithm?,boldfaced cells
Human Summary (A2),2.5.1,What does each boldfaced cell represent?,an alignment of a pair of letters in the two strings
Human Summary (A2),2.5.1,What do two boldfaced cells present in the same row?,insertion
Human Summary (A2),2.5.1,What is a procedure in which we follow the pointers from the last cell?,The backtrace
Human Summary (A2),3.0,"What is used in speech recognition, spelling correction, and machine translation?",Probability
Human Summary (A2),3.0,Probability is important for what type of devices for the disabled?,AAC devices
Human Summary (A2),3.0,What are models that assign probability to sequences of a word called?,language models
Human Summary (A2),3.0,What is the simplest example of LMs?,n-gram
Human Summary (A2),3.1,What doesn't give good estimates when new sentences are created?,Estimating probabilities directly from counts
Human Summary (A2),3.1,What computes probability of a word given previous words?,chain rule of probability
Human Summary (A2),3.1,What model approximates the history by just the last few words?,The n-gram model
Human Summary (A2),3.1,What does the bigram model predict given the first word?,the conditional probability of the last word
Human Summary (A2),3.1,What assumption states that the probability of a word depends only on the previous word?,Markov
Human Summary (A2),3.1,What gives the parameters of an n-gram model by normalizing the counts from a corpus so that they lie between 0 and 1?,MLE
Human Summary (A2),3.1,What is given by the bigram of xy over the unigram count for x?,x
Human Summary (A2),3.1,What is the ratio between the observed frequency of a particular sequence and the observed frequency of a prefix?,relative frequency
Human Summary (A2),3.1,How are bigram probabilities normalized?,by dividing each cell by the set of unigram probabilities
Human Summary (A2),3.1,What model is used when there is sufficient training data?,trigram models
Human Summary (A2),3.1,"To avoid numerical underflow, language model probabilities are always represented and computed as what?",log probabilities
Human Summary (A2),3.2.0,How does an extrinsic evaluation determine the performance of a language model?,by embedding it in an application
Human Summary (A2),3.2.0,What measures the quality of a model independent of any application?,intrinsic evaluation metric
Human Summary (A2),3.2.0,What is the quality of an n-gram model from its training set measured by?,performance on a test set in the held out corpora
Human Summary (A2),3.2.0,Which n-gram model assigns a higher probability to the test set?,the one that better fits the test set
Human Summary (A2),3.2.0,What is the initial test set that has never been used before?,The development test
Human Summary (A2),3.2.0,Training on the same test set introduces a bias that gives disproportionally high probabilities and causes what?,huge inaccuracies in perplexity
Human Summary (A2),3.2.1,What is the perplexity of a language model on a test set?,the inverse probability of the test set
Human Summary (A2),3.2.1,What is the greater the language model's test set probability?,The smaller the perplexity
Human Summary (A2),3.2.1,What is another definition of perplexity?,the weighted average branching factor of a language
Human Summary (A2),3.2.1,How must the n-gram model P be constructed?,without any knowledge of the test set or its vocabulary
Human Summary (A2),3.2.1,What does not guarantee an extrinsic improvement in the performance of a specific language processing task?,an intrinsic improvement in perplexity
Human Summary (A2),3.3.0,The n-gram model is dependent on what?,training corpus
Human Summary (A2),3.3.0,What increases in the n-gram model?,the word tokens N
Human Summary (A2),3.3.0,What is important to get training data in?,dialect or variety
Human Summary (A2),3.3.0,What are phrases that don't occur in the training set but do occur in the test set?,Zeros
Human Summary (A2),3.3.0,Zeros cause the underestimation of all other phrases and give what probability of the entire test set?,false negative probability
Human Summary (A2),3.3.1,What is a closed vocabulary system?,the test set doesn't contain any words outside of the given lexicon
Human Summary (A2),3.3.1,The closed vocabulary system is often used in speech recognition or what?,machine translation
Human Summary (A2),3.3.1,Unknown words are also called what?,out of vocabulary
Human Summary (A2),3.3.1,What is the percentage of OOV words that appear in the test set?,OOV
Human Summary (A2),3.3.1,What is a pseudo-word called in an open vocabulary system?,UNK
Human Summary (A2),3.3.1,How can we train the probabilities of unknown words in an open vocabulary system?,convert any unknown words to the word token
Human Summary (A2),3.3.1,What can a language model achieve by choosing a small vocabulary and assigning the unknown word a high probability?,low perplexity
Human Summary (A2),3.4.0,What is the procedure of transferring the probability mass of frequent events to other words that appear in the test set in an unseen context?,Smoothing or discounting
Human Summary (A2),3.4.1,How many bigram counts does the Laplace smoothing algorithm add?,one
Human Summary (A2),3.4.1,What is the Laplace smoothing algorithm used for?,text classification
Human Summary (A2),3.4.1,What does the Laplace smoothing algorithm define instead of adding one to both the numerator and denominator of the probability?,an adjusted count
Human Summary (A2),3.4.1,What is the normalization factor N over N plus V?,the total number of word tokens
Human Summary (A2),3.4.1,What can the smoothing algorithm be viewed as?,discounting non-zero counts and reassigning probability mass to zero counts
Human Summary (A2),3.4.1,The smoothing algorithm can be described in terms of what?,relative discount d
Human Summary (A2),3.4.1,What shows both the discounted previously-nonzero counts and increased previously-zero counts?,The reconstructed count matrix
Human Summary (A2),3.4.2,What is the algorithm that adds a fractional count k to each count called?,add-k smoothing
Human Summary (A2),3.4.2,How can the fractional count k be chosen?,by optimizing on a devset
Human Summary (A2),3.4.3,What helps to generalize more for unlearned contexts?,bigram
Human Summary (A2),3.4.3,When do we move along the n-gram hierarchy?,until there is sufficient evidence
